CustID,Cor_Bo,Cor_Ca,Die_Bo,Ass_Ca,HD_Cor,Total_Rev,Cor_Bo_COGS,Cor_Ca_COGS,Die_Bo_COGS,Ass_Ca_COGS,HD_Cor_COGS,Total_COGS,Ships,Orders,ExpOr,Queries,Design
45," $61,556 "," $89,829 "," $102,550 "," $79,968 "," $10,720 "," $344,622 "," $14,466 "," $38,626 "," $64,094 "," $65,413 "," $8,769 "," $191,368 ",318,106,114,1297,452
46," $64,897 "," $93,396 "," $112,095 "," $86,290 "," $11,945 "," $368,622 "," $15,251 "," $40,160 "," $70,059 "," $70,585 "," $9,771 "," $205,826 ",80,80,44,1329,316
47," $66,690 "," $107,566 "," $100,398 "," $86,623 "," $8,705 "," $369,981 "," $15,672 "," $46,253 "," $62,748 "," $70,858 "," $7,121 "," $202,652 ",158,79,39,1087,278
48," $64,412 "," $86,918 "," $95,876 "," $70,354 "," $8,672 "," $326,232 "," $15,137 "," $37,375 "," $59,922 "," $57,550 "," $7,094 "," $177,077 ",393,131,154,1708,983
49," $71,401 "," $77,051 "," $120,533 "," $82,302 "," $10,636 "," $361,923 "," $16,779 "," $33,132 "," $75,333 "," $67,323 "," $8,700 "," $201,267 ",178,89,75,1135,338
50," $59,680 "," $101,719 "," $101,927 "," $62,582 "," $10,710 "," $336,618 "," $14,025 "," $43,739 "," $63,704 "," $51,192 "," $8,761 "," $181,421 ",232,116,136,1270,867
51," $64,665 "," $92,449 "," $92,229 "," $74,690 "," $8,785 "," $332,817 "," $15,196 "," $39,753 "," $57,643 "," $61,096 "," $7,186 "," $180,874 ",131,131,151,1569,932
52," $65,648 "," $95,354 "," $102,211 "," $85,231 "," $10,474 "," $358,917 "," $15,427 "," $41,002 "," $63,882 "," $69,719 "," $8,568 "," $198,598 ",231,77,43,1080,286
53," $67,138 "," $107,769 "," $103,292 "," $62,365 "," $7,929 "," $348,492 "," $15,777 "," $46,340 "," $64,558 "," $51,014 "," $6,486 "," $184,175 ",160,80,44,1085,319
54," $66,552 "," $79,546 "," $97,675 "," $92,438 "," $10,944 "," $347,155 "," $15,640 "," $34,205 "," $61,047 "," $75,614 "," $8,953 "," $195,458 ",333,111,124,1615,528
55," $55,530 "," $84,763 "," $111,629 "," $78,431 "," $8,024 "," $338,377 "," $13,050 "," $36,448 "," $69,768 "," $64,156 "," $6,564 "," $189,986 ",194,97,111,1226,433
56," $64,321 "," $97,465 "," $107,478 "," $117,421 "," $9,964 "," $396,650 "," $15,115 "," $41,910 "," $67,174 "," $96,050 "," $8,151 "," $228,400 ",83,83,41,1447,293
57," $64,924 "," $109,583 "," $115,577 "," $62,205 "," $13,940 "," $366,229 "," $15,257 "," $47,121 "," $72,236 "," $50,884 "," $11,403 "," $196,900 ",93,93,84,1296,380
58," $68,514 "," $88,564 "," $82,807 "," $114,217 "," $8,026 "," $362,127 "," $16,101 "," $38,083 "," $51,754 "," $93,429 "," $6,565 "," $205,932 ",207,69,35,954,263
59," $52,873 "," $82,875 "," $120,103 "," $79,098 "," $9,609 "," $344,557 "," $12,425 "," $35,636 "," $75,064 "," $64,702 "," $7,860 "," $195,687 ",71,71,40,937,289
60," $60,365 "," $94,917 "," $119,525 "," $89,683 "," $9,202 "," $373,692 "," $14,186 "," $40,814 "," $74,703 "," $73,360 "," $7,527 "," $210,591 ",152,76,42,1238,289
61," $48,572 "," $77,256 "," $97,969 "," $96,976 "," $11,167 "," $331,940 "," $11,414 "," $33,220 "," $61,230 "," $79,326 "," $9,135 "," $194,326 ",339,113,142,1396,897
62," $57,112 "," $91,799 "," $113,526 "," $76,140 "," $9,581 "," $348,158 "," $13,421 "," $39,474 "," $70,954 "," $62,282 "," $7,837 "," $193,968 ",291,97,109,1130,402
63," $62,549 "," $93,597 "," $111,360 "," $82,114 "," $11,283 "," $360,902 "," $14,699 "," $40,247 "," $69,600 "," $67,169 "," $9,230 "," $200,944 ",84,84,76,1109,340
64," $62,491 "," $88,212 "," $98,133 "," $93,250 "," $7,342 "," $349,427 "," $14,685 "," $37,931 "," $61,333 "," $76,278 "," $6,006 "," $196,233 ",258,86,85,1223,390
65," $61,211 "," $91,149 "," $113,264 "," $88,291 "," $10,590 "," $364,504 "," $14,385 "," $39,194 "," $70,790 "," $72,222 "," $8,663 "," $205,253 ",312,104,112,1359,437
66," $66,419 "," $91,748 "," $96,754 "," $76,560 "," $8,687 "," $340,168 "," $15,608 "," $39,452 "," $60,471 "," $62,626 "," $7,106 "," $185,263 ",262,131,153,1732,959
67," $56,761 "," $85,005 "," $87,031 "," $78,866 "," $9,120 "," $316,783 "," $13,339 "," $36,552 "," $54,394 "," $64,512 "," $7,460 "," $176,258 ",360,120,148,1469,936
68," $56,653 "," $97,970 "," $117,635 "," $93,409 "," $8,514 "," $374,181 "," $13,313 "," $42,127 "," $73,522 "," $76,409 "," $6,964 "," $212,335 ",146,73,42,1315,310
69," $58,994 "," $84,458 "," $108,759 "," $75,661 "," $8,303 "," $336,175 "," $13,864 "," $36,317 "," $67,974 "," $61,891 "," $6,792 "," $186,838 ",348,116,136,1250,852
70," $56,183 "," $99,560 "," $90,076 "," $77,532 "," $9,302 "," $332,653 "," $13,203 "," $42,811 "," $56,298 "," $63,421 "," $7,609 "," $183,341 ",109,109,119,1320,479
71," $55,958 "," $94,105 "," $99,505 "," $72,877 "," $9,777 "," $332,222 "," $13,150 "," $40,465 "," $62,191 "," $59,613 "," $7,998 "," $183,417 ",108,108,134,1208,853
72," $59,136 "," $95,102 "," $104,829 "," $62,829 "," $8,599 "," $330,494 "," $13,897 "," $40,894 "," $65,518 "," $51,394 "," $7,034 "," $178,736 ",242,121,142,1352,888
73," $59,830 "," $92,605 "," $115,920 "," $83,723 "," $9,205 "," $361,283 "," $14,060 "," $39,820 "," $72,450 "," $68,485 "," $7,530 "," $202,345 ",285,95,87,1333,389
74," $60,469 "," $102,998 "," $109,001 "," $86,638 "," $9,651 "," $368,756 "," $14,210 "," $44,289 "," $68,125 "," $70,869 "," $7,894 "," $205,388 ",285,95,114,1427,431
75," $48,796 "," $102,293 "," $107,552 "," $109,214 "," $8,366 "," $376,221 "," $11,467 "," $43,986 "," $67,220 "," $89,337 "," $6,844 "," $218,854 ",74,74,39,1298,294
76," $67,186 "," $104,593 "," $91,151 "," $96,280 "," $8,790 "," $368,000 "," $15,789 "," $44,975 "," $56,969 "," $78,757 "," $7,190 "," $203,680 ",261,87,77,1182,339
77," $60,755 "," $103,970 "," $115,189 "," $62,887 "," $9,086 "," $351,886 "," $14,277 "," $44,707 "," $71,993 "," $51,441 "," $7,433 "," $189,851 ",333,111,121,1588,503
78," $54,249 "," $100,229 "," $111,234 "," $90,480 "," $11,063 "," $367,254 "," $12,749 "," $43,098 "," $69,521 "," $74,013 "," $9,050 "," $208,430 ",264,88,46,1296,306
79," $49,320 "," $90,139 "," $100,048 "," $68,208 "," $12,013 "," $319,727 "," $11,590 "," $38,760 "," $62,530 "," $55,794 "," $9,826 "," $178,500 ",378,126,144,1219,890
80," $60,109 "," $107,004 "," $95,806 "," $97,179 "," $11,157 "," $371,255 "," $14,126 "," $46,012 "," $59,878 "," $79,492 "," $9,127 "," $208,635 ",97,97,80,1299,362
81," $68,635 "," $86,772 "," $114,268 "," $89,712 "," $10,326 "," $369,713 "," $16,129 "," $37,312 "," $71,418 "," $73,384 "," $8,446 "," $206,689 ",258,86,83,1311,369
82," $63,830 "," $109,101 "," $95,557 "," $70,746 "," $7,278 "," $346,512 "," $15,000 "," $46,913 "," $59,723 "," $57,870 "," $5,954 "," $185,460 ",170,85,104,1024,389
83," $70,691 "," $95,852 "," $93,804 "," $91,539 "," $11,624 "," $363,508 "," $16,612 "," $41,216 "," $58,627 "," $74,878 "," $9,508 "," $200,842 ",176,88,80,1254,372
84," $60,254 "," $81,108 "," $137,981 "," $70,354 "," $7,463 "," $357,159 "," $14,160 "," $34,877 "," $86,238 "," $57,550 "," $6,104 "," $198,928 ",279,93,106,1157,391
85," $50,432 "," $93,150 "," $100,370 "," $119,016 "," $10,931 "," $373,898 "," $11,852 "," $40,054 "," $62,731 "," $97,355 "," $8,941 "," $220,933 ",152,76,40,1140,276
86," $59,957 "," $74,226 "," $101,315 "," $101,573 "," $9,385 "," $346,456 "," $14,090 "," $31,917 "," $63,322 "," $83,086 "," $7,677 "," $200,092 ",176,88,80,1194,374
87," $49,332 "," $82,494 "," $96,376 "," $97,846 "," $9,354 "," $335,402 "," $11,593 "," $35,472 "," $60,235 "," $80,038 "," $7,651 "," $194,990 ",297,99,115,1201,459
88," $60,892 "," $103,113 "," $103,467 "," $72,370 "," $13,607 "," $353,448 "," $14,310 "," $44,339 "," $64,667 "," $59,198 "," $11,130 "," $193,643 ",96,96,106,1127,400
89," $55,454 "," $83,195 "," $129,801 "," $93,076 "," $8,733 "," $370,258 "," $13,032 "," $35,774 "," $81,126 "," $76,136 "," $7,143 "," $213,210 ",198,66,40,1173,287
90," $70,025 "," $101,770 "," $100,909 "," $93,206 "," $6,330 "," $372,240 "," $16,456 "," $43,761 "," $63,068 "," $76,243 "," $5,178 "," $204,705 ",231,77,39,1173,280
91," $46,187 "," $101,477 "," $102,410 "," $89,973 "," $8,253 "," $348,299 "," $10,854 "," $43,635 "," $64,006 "," $73,598 "," $6,751 "," $198,843 ",198,99,115,1389,465
92," $58,957 "," $104,144 "," $114,310 "," $60,349 "," $12,161 "," $349,921 "," $13,855 "," $44,782 "," $71,444 "," $49,365 "," $9,948 "," $189,394 ",107,107,121,1572,508
93," $63,710 "," $107,373 "," $111,391 "," $94,453 "," $8,223 "," $385,150 "," $14,972 "," $46,170 "," $69,619 "," $77,263 "," $6,726 "," $214,750 ",222,74,38,1127,267
94," $60,054 "," $90,934 "," $89,936 "," $54,419 "," $6,104 "," $301,447 "," $14,113 "," $39,102 "," $56,210 "," $44,514 "," $4,993 "," $158,932 ",254,127,151,1310,945
95," $60,136 "," $106,495 "," $119,921 "," $126,295 "," $10,188 "," $423,035 "," $14,132 "," $45,793 "," $74,950 "," $103,309 "," $8,334 "," $246,518 ",138,69,26,1150,219
96," $57,657 "," $70,536 "," $98,011 "," $53,491 "," $8,134 "," $287,828 "," $13,549 "," $30,331 "," $61,257 "," $43,755 "," $6,653 "," $155,545 ",345,115,146,1139,924
97," $61,310 "," $90,663 "," $120,908 "," $101,486 "," $14,574 "," $388,940 "," $14,408 "," $38,985 "," $75,567 "," $83,015 "," $11,921 "," $223,897 ",134,67,32,921,225
98," $64,502 "," $92,203 "," $101,070 "," $77,851 "," $9,310 "," $344,935 "," $15,158 "," $39,647 "," $63,168 "," $63,682 "," $7,616 "," $189,271 ",182,91,75,989,330
99," $65,779 "," $83,540 "," $118,577 "," $77,242 "," $9,832 "," $354,968 "," $15,458 "," $35,922 "," $74,110 "," $63,184 "," $8,042 "," $196,716 ",94,94,107,1179,398
100," $69,012 "," $84,612 "," $87,668 "," $112,796 "," $12,216 "," $366,303 "," $16,218 "," $36,383 "," $54,793 "," $92,267 "," $9,992 "," $209,652 ",234,78,45,1202,301
101," $67,660 "," $112,553 "," $116,456 "," $76,966 "," $12,651 "," $386,286 "," $15,900 "," $48,398 "," $72,785 "," $62,958 "," $10,349 "," $210,390 ",214,107,115,1663,456
102," $55,749 "," $87,471 "," $103,310 "," $91,901 "," $10,223 "," $348,654 "," $13,101 "," $37,613 "," $64,568 "," $75,175 "," $8,362 "," $198,819 ",282,94,110,1184,413
103," $65,032 "," $94,124 "," $105,739 "," $83,332 "," $10,301 "," $358,527 "," $15,283 "," $40,473 "," $66,087 "," $68,165 "," $8,426 "," $198,434 ",204,102,107,1218,403
104," $59,460 "," $90,175 "," $103,033 "," $99,818 "," $10,303 "," $362,789 "," $13,973 "," $38,775 "," $64,396 "," $81,651 "," $8,428 "," $207,223 ",170,85,75,1112,336
105," $55,920 "," $107,039 "," $96,313 "," $107,489 "," $9,551 "," $376,311 "," $13,141 "," $46,027 "," $60,196 "," $87,926 "," $7,812 "," $215,101 ",76,76,34,939,247
106," $57,611 "," $97,838 "," $117,856 "," $103,878 "," $9,471 "," $386,654 "," $13,539 "," $42,070 "," $73,660 "," $84,972 "," $7,748 "," $221,988 ",213,71,32,889,236
107," $51,788 "," $96,949 "," $105,046 "," $75,763 "," $11,568 "," $341,113 "," $12,170 "," $41,688 "," $65,653 "," $61,974 "," $9,463 "," $190,948 ",306,102,117,1290,471
108," $50,246 "," $101,028 "," $92,498 "," $82,650 "," $9,754 "," $336,177 "," $11,808 "," $43,442 "," $57,811 "," $67,608 "," $7,979 "," $188,648 ",100,100,117,1356,481
109," $49,528 "," $80,337 "," $99,600 "," $84,332 "," $9,824 "," $323,621 "," $11,639 "," $34,545 "," $62,250 "," $68,984 "," $8,036 "," $185,453 ",238,119,140,1209,868
110," $62,995 "," $99,370 "," $103,555 "," $92,423 "," $8,187 "," $366,529 "," $14,804 "," $42,729 "," $64,722 "," $75,602 "," $6,697 "," $204,554 ",160,80,38,1033,283
111," $66,332 "," $116,741 "," $115,763 "," $93,772 "," $9,962 "," $402,570 "," $15,588 "," $50,199 "," $72,352 "," $76,705 "," $8,149 "," $222,993 ",74,74,34,1018,242
112," $53,424 "," $100,038 "," $117,016 "," $79,881 "," $7,965 "," $358,323 "," $12,555 "," $43,016 "," $73,135 "," $65,342 "," $6,515 "," $200,563 ",85,85,80,1231,378
113," $56,102 "," $85,415 "," $89,912 "," $114,768 "," $7,637 "," $353,833 "," $13,184 "," $36,729 "," $56,195 "," $93,880 "," $6,247 "," $206,234 ",91,91,84,1181,366
114," $61,778 "," $89,056 "," $113,383 "," $85,072 "," $8,348 "," $357,636 "," $14,518 "," $38,294 "," $70,864 "," $69,588 "," $6,828 "," $200,093 ",255,85,76,1130,346
115," $65,015 "," $96,778 "," $113,747 "," $94,236 "," $7,232 "," $377,007 "," $15,279 "," $41,615 "," $71,092 "," $77,085 "," $5,916 "," $210,985 ",160,80,40,1091,274
116," $57,330 "," $84,749 "," $87,003 "," $82,549 "," $9,854 "," $321,485 "," $13,473 "," $36,442 "," $54,377 "," $67,525 "," $8,061 "," $179,877 ",208,104,123,1381,518
117," $64,476 "," $93,474 "," $107,153 "," $108,779 "," $10,874 "," $384,756 "," $15,152 "," $40,194 "," $66,970 "," $88,981 "," $8,895 "," $220,192 ",146,73,37,1151,267
118," $69,123 "," $78,335 "," $94,276 "," $86,638 "," $13,377 "," $341,748 "," $16,244 "," $33,684 "," $58,923 "," $70,869 "," $10,942 "," $190,662 ",99,99,120,1486,507
119," $65,391 "," $88,507 "," $124,887 "," $77,996 "," $12,853 "," $369,633 "," $15,367 "," $38,058 "," $78,054 "," $63,800 "," $10,514 "," $205,793 ",174,87,80,1205,344
120," $63,009 "," $96,325 "," $87,378 "," $90,973 "," $12,263 "," $349,948 "," $14,807 "," $41,420 "," $54,611 "," $74,416 "," $10,031 "," $195,285 ",186,93,105,1128,398
121," $47,357 "," $78,326 "," $98,245 "," $77,242 "," $12,034 "," $313,204 "," $11,129 "," $33,680 "," $61,403 "," $63,184 "," $9,844 "," $179,240 ",115,115,144,1275,900
122," $54,130 "," $91,215 "," $105,130 "," $96,266 "," $11,899 "," $358,639 "," $12,721 "," $39,222 "," $65,706 "," $78,745 "," $9,733 "," $206,127 ",71,71,42,1163,302
123," $49,359 "," $92,412 "," $121,762 "," $61,321 "," $13,700 "," $338,553 "," $11,599 "," $39,737 "," $76,101 "," $50,160 "," $11,206 "," $188,804 ",208,104,119,1303,470
124," $63,946 "," $90,608 "," $109,680 "," $81,287 "," $12,003 "," $357,523 "," $15,027 "," $38,961 "," $68,550 "," $66,493 "," $9,818 "," $198,849 ",255,85,102,1183,397
125," $64,171 "," $103,131 "," $99,929 "," $78,460 "," $5,976 "," $351,666 "," $15,080 "," $44,347 "," $62,455 "," $64,180 "," $4,888 "," $190,950 ",104,104,119,1415,466
126," $64,371 "," $94,749 "," $110,870 "," $80,823 "," $9,897 "," $360,709 "," $15,127 "," $40,742 "," $69,293 "," $66,113 "," $8,096 "," $199,372 ",210,70,40,1040,288
127," $62,064 "," $82,088 "," $105,879 "," $72,790 "," $8,536 "," $331,356 "," $14,585 "," $35,298 "," $66,174 "," $59,542 "," $6,982 "," $182,581 ",230,115,132,1134,834
128," $54,145 "," $112,951 "," $96,331 "," $110,099 "," $9,936 "," $383,461 "," $12,724 "," $48,569 "," $60,207 "," $90,061 "," $8,127 "," $219,687 ",65,65,30,897,238
129," $48,843 "," $87,355 "," $70,770 "," $69,673 "," $9,711 "," $286,351 "," $11,478 "," $37,562 "," $44,231 "," $56,992 "," $7,944 "," $158,207 ",138,86,177,1529,1259
130," $64,997 "," $86,377 "," $98,861 "," $71,311 "," $10,000 "," $331,546 "," $15,274 "," $37,142 "," $61,788 "," $58,332 "," $8,180 "," $180,717 ",372,124,156,1732,970
131," $54,958 "," $114,886 "," $115,213 "," $76,183 "," $8,097 "," $369,337 "," $12,915 "," $49,401 "," $72,008 "," $62,318 "," $6,624 "," $203,265 ",252,84,44,1354,319
132," $51,591 "," $81,317 "," $126,242 "," $112,390 "," $11,382 "," $382,921 "," $12,124 "," $34,966 "," $78,901 "," $91,935 "," $9,311 "," $227,236 ",207,69,38,1136,263
133," $60,691 "," $90,743 "," $91,434 "," $65,381 "," $9,563 "," $317,812 "," $14,262 "," $39,020 "," $57,146 "," $53,481 "," $7,823 "," $171,732 ",378,126,150,1511,960
134," $58,317 "," $90,266 "," $105,658 "," $107,054 "," $8,395 "," $369,689 "," $13,704 "," $38,814 "," $66,036 "," $87,570 "," $6,867 "," $212,992 ",154,77,41,1134,282
135," $64,354 "," $78,568 "," $91,441 "," $92,452 "," $8,852 "," $335,667 "," $15,123 "," $33,784 "," $57,151 "," $75,626 "," $7,241 "," $188,925 ",230,115,139,1267,858
136," $56,951 "," $81,260 "," $93,895 "," $103,342 "," $10,349 "," $345,796 "," $13,383 "," $34,942 "," $58,684 "," $84,533 "," $8,466 "," $200,009 ",99,99,111,1285,447
137," $62,402 "," $96,918 "," $103,957 "," $67,121 "," $12,138 "," $342,536 "," $14,664 "," $41,675 "," $64,973 "," $54,905 "," $9,929 "," $186,146 ",172,86,81,1062,366
138," $63,611 "," $101,020 "," $104,412 "," $114,753 "," $9,162 "," $392,958 "," $14,949 "," $43,439 "," $65,258 "," $93,868 "," $7,495 "," $225,007 ",148,74,36,1174,256
139," $61,070 "," $101,608 "," $131,887 "," $93,018 "," $8,667 "," $396,250 "," $14,351 "," $43,692 "," $82,429 "," $76,088 "," $7,090 "," $223,651 ",66,66,33,1105,236
140," $56,121 "," $87,818 "," $117,992 "," $82,505 "," $10,138 "," $354,574 "," $13,188 "," $37,762 "," $73,745 "," $67,489 "," $8,293 "," $200,477 ",294,98,108,1206,412
141," $50,918 "," $89,565 "," $91,249 "," $79,576 "," $11,719 "," $323,026 "," $11,966 "," $38,513 "," $57,030 "," $65,093 "," $9,586 "," $182,188 ",303,101,116,1244,481
